STATE_CODE_001,STRUCTURE_NUMBER_008,RECORD_TYPE_005A,ROUTE_PREFIX_005B,SERVICE_LEVEL_005C,ROUTE_NUMBER_005D,DIRECTION_005E,HIGHWAY_DISTRICT_002,COUNTY_CODE_003,PLACE_CODE_004,FEATURES_DESC_006A,CRITICAL_FACILITY_006B,FACILITY_CARRIED_007,LOCATION_009,MIN_VERT_CLR_010,KILOPOINT_011,BASE_HWY_NETWORK_012,LRS_INV_ROUTE_013A,SUBROUTE_NO_013B,LAT_016,LONG_017,DETOUR_KILOS_019,TOLL_020,MAINTENANCE_021,OWNER_022,FUNCTIONAL_CLASS_026,YEAR_BUILT_027,TRAFFIC_LANES_ON_028A,TRAFFIC_LANES_UND_028B,ADT_029,YEAR_ADT_030,DESIGN_LOAD_031,APPR_WIDTH_MT_032,MEDIAN_CODE_033,DEGREES_SKEW_034,STRUCTURE_FLARED_035,RAILINGS_036A,TRANSITIONS_036B,APPR_RAIL_036C,APPR_RAIL_END_036D,HISTORY_037,NAVIGATION_038,NAV_VERT_CLR_MT_039,NAV_HORR_CLR_MT_040,OPEN_CLOSED_POSTED_041,SERVICE_ON_042A,SERVICE_UND_042B,STRUCTURE_KIND_043A,STRUCTURE_TYPE_043B,APPR_KIND_044A,APPR_TYPE_044B,MAIN_UNIT_SPANS_045,APPR_SPANS_046,HORR_CLR_MT_047,MAX_SPAN_LEN_MT_048,STRUCTURE_LEN_MT_049,LEFT_CURB_MT_050A,RIGHT_CURB_MT_050B,ROADWAY_WIDTH_MT_051,DECK_WIDTH_MT_052,VERT_CLR_OVER_MT_053,VERT_CLR_UND_REF_054A,VERT_CLR_UND_054B,LAT_UND_REF_055A,LAT_UND_MT_055B,LEFT_LAT_UND_MT_056,DECK_COND_058,SUPERSTRUCTURE_COND_059,SUBSTRUCTURE_COND_060,CHANNEL_COND_061,CULVERT_COND_062,OPR_RATING_METH_063,OPERATING_RATING_064,INV_RATING_METH_065,INVENTORY_RATING_066,STRUCTURAL_EVAL_067,DECK_GEOMETRY_EVAL_068,UNDCLRENCE_EVAL_069,POSTING_EVAL_070,WATERWAY_EVAL_071,APPR_ROAD_EVAL_072,WORK_PROPOSED_075A,WORK_DONE_BY_075B,IMP_LEN_MT_076,DATE_OF_INSPECT_090,INSPECT_FREQ_MONTHS_091,FRACTURE_092A,UNDWATER_LOOK_SEE_092B,SPEC_INSPECT_092C,FRACTURE_LAST_DATE_093A,UNDWATER_LAST_DATE_093B,SPEC_LAST_DATE_093C,BRIDGE_IMP_COST_094,ROADWAY_IMP_COST_095,TOTAL_IMP_COST_096,YEAR_OF_IMP_097,OTHER_STATE_CODE_098A,OTHER_STATE_PCNT_098B,OTHR_STATE_STRUC_NO_099,STRAHNET_HIGHWAY_100,PARALLEL_STRUCTURE_101,TRAFFIC_DIRECTION_102,TEMP_STRUCTURE_103,HIGHWAY_SYSTEM_104,FEDERAL_LANDS_105,YEAR_RECONSTRUCTED_106,DECK_STRUCTURE_TYPE_107,SURFACE_TYPE_108A,MEMBRANE_TYPE_108B,DECK_PROTECTION_108C,PERCENT_ADT_TRUCK_109,NATIONAL_NETWORK_110,PIER_PROTECTION_111,BRIDGE_LEN_IND_112,SCOUR_CRITICAL_113,FUTURE_ADT_114,YEAR_OF_FUTURE_ADT_115,MIN_NAV_CLR_MT_116,FED_AGENCY,DATE_LAST_UPDATE,TYPE_LAST_UPDATE,DEDUCT_CODE,REMARKS,PROGRAM_CODE,PROJ_NO,PROJ_SUFFIX,NBI_TYPE_OF_IMP,DTL_TYPE_OF_IMP,SPECIAL_CODE,STEP_CODE,STATUS_WITH_10YR_RULE,SUFFICIENCY_ASTERC,SUFFICIENCY_RATING,STATUS_NO_10YR_RULE
24,        1MD0135,1,8,0,00000,0,00,031,7125,'Creek                   ',,'Highpoint Rd      ','125m S of McArthur Blvd  ',99.99,0,0,,,38583030,077105694,1,3,73,73,09,1980,2,0,100,2005,5,7.2,0,0,0,0,0,1,1,5,0,0,0,P,1,5,3,02,0,00,1,0,7.2,8.3,8.3,0,0,7.2,7.8,99.99,N,0,N,0,0,7,7,7,6,N,1,39.1,1,23.4,6,5,N,5,7,8,38,1,8.3,1005,24,N  ,N  ,N  ,,,,35,0,35,2005,,,,0,N,2,,0,0,0,1,0,0,0,10,0,1,Y,6,200,2020,,Y,6/12/2006,B,Z ,,,,,,,,,0,,89.2,0
24,        1MD0180,1,8,0,00000,0,00,031,7125,'Stoney Creek            ',,'Stokes Rd         ','50m E of E Palmer Rd     ',99.99,0,0,,,38595750,077052870,2,3,73,73,19,1950,2,0,2200,2005,5,7.9,0,12,0,1,N,N,N,5,0,0,0,A,5,5,5,01,0,00,1,0,7.9,6.6,6.6,1.8,1.8,7.9,12.3,99.99,N,0,N,0,0,4,4,5,5,N,1,33.2,1,20,4,3,N,5,6,8,35,1,6.6,905,12,N  ,N  ,N  ,,,,82,,82,2005,,,,0,N,2,,0,0,1975,2,6,0,0,5,0,1,Y,6,2750,2022,,Y,6/12/2006,B,A ,,,,,,,,,1,,39.9,1
24,        1MD0265,1,8,0,00000,0,00,031,7125,'Stoney Creek            ',,'E Rixey Rd        ','10m W Stone Lake Rd      ',99.99,0,0,,,39000580,077052460,2,3,73,73,19,1975,2,0,550,2005,5,9,0,18,0,N,N,N,N,5,0,0,0,A,5,5,1,19,0,00,2,0,9,3.8,7.9,0,1.7,0,0,99.99,N,0,N,0,0,N,N,N,5,5,1,54.4,1,32.6,5,N,N,5,8,8,38,1,7.9,905,24,N  ,N  ,N  ,,,,51,,51,2005,,,,0,N,2,,0,0,0,N,N,N,N,10,0,1,Y,6,605,2022,,Y,6/12/2006,B,Z ,,,,,,,,,0,*,88.9,0
24,        1MD0641,1,8,0,00000,0,00,003,1600,'Dorsey Creek            ',,'Decatur Rd        ','500m SE of Rt 450        ',99.99,0,0,,,38590970,076293010,5,3,73,73,19,1983,2,0,4400,2005,5,8.2,0,0,0,1,N,N,N,5,0,0,0,A,5,5,5,02,0,00,8,0,8.2,19,152.2,1.5,0,8.2,11,99.99,N,0,N,0,0,7,6,5,7,N,1,75.7,1,45.3,5,3,N,5,8,8,38,1,152.2,905,24,N  ,Y48,N  ,,0903,,82,0,82,2005,,,,0,N,2,,0,0,0,1,0,0,0,5,0,1,Y,6,5500,2022,,Y,6/12/2006,B,A ,,,,,,,,,2,,68.4,2
24,        1MD0667,1,6,8,00000,0,00,037,60575,'HARPERS CREEK           ',,'CEDAR POINT ROAD  ','0.7 MI N OF BRONSON ROAD ',99.99,0,0,,,38181580,076241180,0,3,73,73,09,1952,2,0,1440,2006,5,8.2,0,0,0,1,1,1,1,5,0,0,0,A,1,5,7,02,0,00,123,0,8.5,6.1,749.8,0,0,8.5,9.1,99.99,N,0,N,0,0,7,7,5,7,N,2,58.3,2,43.8,5,5,N,5,8,8,35,1,749.8,806,24,N  ,Y48,N  ,,0806,,24,0,24,2006,,,,0,N,2,,0,0,1996,8,6,2,0,0,0,1,Y,T,1800,2025,,Y,8/10/2007,B,Z ,,,,,,,,,0,,80.5,0
24,        1MD0668,1,6,8,00000,0,00,037,60575,'GOOSE CREEK             ',,'CEDAR POINT ROAD  ','0.9 MI NE OF MACAULAY AVE',99.99,0,0,,,38173031,076224607,0,3,73,73,09,1952,2,0,1440,2006,5,8.2,0,0,0,1,1,1,1,5,0,0,0,A,1,5,7,02,0,00,3,0,9.1,6.4,18.6,0,0,8.2,9.1,99.99,N,0,N,0,0,7,7,6,7,N,2,58.3,2,43.8,6,4,N,5,8,8,35,1,18.6,806,24,N  ,Y48,N  ,,0806,,22,0,22,2006,,,,0,N,2,,0,0,1996,8,6,2,8,0,0,1,Y,T,1800,2025,,Y,8/10/2007,B,Z ,,,,,,,,,0,,88,0
24,        1MD260E,1,8,0,00000,0,00,031,7125,'Parking lot             ',,'Palmer Rd South   ','600m E of Wood Rd        ',99.99,0,0,,,39000350,077052540,2,3,73,73,19,1981,2,0,2750,2005,5,7.9,0,0,0,1,N,N,N,5,N,0,0,A,5,0,2,06,0,00,3,0,7.9,33.5,82.9,1.5,1.5,7.9,11.6,99.99,N,0,N,0,0,7,5,6,N,N,1,48.9,1,29.3,5,3,N,5,N,8,38,1,82.9,905,24,N  ,N  ,N  ,,,,181,,181,2005,,,,0,N,2,,0,0,0,1,6,0,0,5,0,,Y,N,3300,2022,,Y,6/12/2006,B,A ,,,,,,,,,2,,67.8,2
24,        1MD260W,1,8,0,00000,0,00,031,7125,'E Palmer Rd & Stoney Crk',,'Palmer Rd South   ','500m E of Wood Rd        ',99.99,0,0,,,39000090,077052930,2,3,73,73,19,1981,2,2,2750,2005,5,7.9,0,0,0,1,N,N,N,5,0,0,0,A,5,6,2,06,0,00,3,0,7.9,33.5,85.3,1.5,1.5,7.9,11.6,99.99,H,4.88,H,3.4,1.5,7,5,6,8,N,1,62.2,1,37.3,5,3,7,5,8,8,38,1,85.3,905,24,N  ,N  ,N  ,,,,183,,183,2005,,,,0,N,2,,0,0,0,1,6,0,0,5,0,1,Y,6,3300,2022,,Y,6/12/2006,B,A ,,,,,,,,,2,,69.6,2
24,000000000CECE01,1,3,1,00213,0,02,,24015,'C&D CANAL               ',,'MD RT 213         ','14 MI WEST OF REEDY PT.  ',5.63,,,,,39314800,075485400,16,3,70,70,02,1948,2,0,7675,1990,5,7.6,0,0,0,0,0,1,1,4,1,41.1,137.1,A,5,5,3,12,3,03,1,32,7.6,164.6,1205.5,0.3,1.2,7.6,9.4,5.48,N,0,N,99.9,0,7,6,7,7,N,,45,,30.6,6,2,N,5,9,7,38,1,1205.5,591,24,Y24,Y24,N  ,0591,0591,,99,0,99,,,,,0,N,2,,,,1978,1,1,0,0,15,0,5,Y,6,0,,,Y,,,A ,,,,0,,,,,2,,66.7,2
24,000051640-00740,1,6,1,00000,0,03,003,0,'SPILLWAY TO WETLANDS    ',,'LAKE ALLEN ROAD   ','PATUXENT RR              ',99.99,0.805,0,,,39033600,076441200,199,3,63,63,09,1989,2,0,40,2005,0,7.9,0,0,0,0,0,0,0,5,0,0,0,A,1,5,1,19,0,00,4,0,8,1.5,7.6,0.2,0.2,8,17.4,99.99,N,0,N,99.9,0,N,N,N,6,7,5,36,5,32.4,7,6,N,5,7,7,38,1,7.6,705,24,N  ,N  ,N  ,,,,0,8,8,2001,,,,0,N,2,,0,0,0,N,N,N,N,,0,,Y,8,40,2025,,Y,5/18/2006,B,Z ,,,,,,,,,0,,91.6,0
