lat,long,STRUCTURE_NUMBER_008,county,location,intersects,carries,yr_built,bridge_condition,avg_daily_traffic,total_improve_cost_thousands,inspection_mo,inspection_yr,owner,responsibility,vehicles
39.22499847,-76.66166687,100000020002010,Anne Arundel County,0.38 MI N OF MD 295,MD 168,IS 695,1958,Fair,128182,NA,07,16,State Highway Agency,State Highway Agency,128182 vehicles
39.22333145,-76.65833282,100000020003010,Anne Arundel County,0.38 MI S OF MD 168,MD 295 NBR,IS 695,1951,Fair,128182,158,02,16,State Highway Agency,State Highway Agency,128182 vehicles
39.20166779,-76.63166809,100000020004015,Anne Arundel County,0.63 MI S OF MD 648E,IS 97,IS 695 IL,1957,Fair,92102,1168,11,15,State Highway Agency,State Highway Agency,92102 vehicles
39.20166779,-76.63166809,100000020004016,Anne Arundel County,0.63 MI S OF MD 648E,IS 97,IS 695 OL,1957,Fair,92102,NA,11,15,State Highway Agency,State Highway Agency,92102 vehicles
39.18166733,-76.61333466,100000020006010,Anne Arundel County,0.09 MI N OF MD 270,SAWMILL CREEK,MD 2,1937,Good,31511,NA,06,15,State Highway Agency,State Highway Agency,31511 vehicles
39.14500046,-76.60666656,100000020007010,Anne Arundel County,0.13 M N OF PHELPS AVENUE,MARLEY CREEK,MD 2,1936,Fair,23961,NA,11,15,State Highway Agency,State Highway Agency,23961 vehicles
39.01944351,-76.5027771,100000020008010,Anne Arundel County,1.38 MI E OF MD 783,BOULTERS WAY,MD 2 RAMP 8,1953,Good,20393,419,03,16,State Highway Agency,State Highway Agency,20393 vehicles
39.01944351,-76.5027771,100000020009010,Anne Arundel County,1.38 MI E OF MD 783,BOULTERS WAY,US 50  RAMP 6,1953,Fair,2833,388,01,16,State Highway Agency,State Highway Agency,2833 vehicles
38.95166779,-76.55500031,100000020010010,Anne Arundel County,0.86MI N OF MD 253,SOUTH RIVER,MD 2,1983,Fair,53221,13504,10,15,State Highway Agency,State Highway Agency,53221 vehicles
39.2228472222222,-76.65250555555555,100000020012010,Anne Arundel County,0.49 MI E OF IS 695,MD 295 NBR,MD 168,1949,Fair,13660,222,10,16,State Highway Agency,State Highway Agency,13660 vehicles
39.2173638888889,-76.6635111111111,100000020013010,Anne Arundel County,0.53 MI S OF MD 168,MD 295 NBR,HAMMONDS FERRY RD,1949,Fair,2892,220,03,16,State Highway Agency,State Highway Agency,2892 vehicles
39.2122555555556,-76.67831111111111,100000020014010,Anne Arundel County,1.23 MI N OF IS 195,MD 295 NBR,WEST NURSERY ROAD,1949,Fair,9020,266,05,15,State Highway Agency,State Highway Agency,9020 vehicles
39.2048277777778,-76.689375,100000020015010,Anne Arundel County,0.8 MI E OF CONCORSE DRIV,MD 295 NBR,WINTERSON ROAD,1990,Good,7530,NA,06,15,State Highway Agency,State Highway Agency,7530 vehicles
